0.5%C,,
Wavelength (nm),Abs,
400.0071716,-0.007595795207,
399.0031128,-0.007451796904,
397.9988708,-0.007551226765,
396.9945374,-0.007557942998,
395.9899597,-0.007694073021,
394.9852295,-0.007550158538,
394.0190125,-0.007662180811,
393.0140076,-0.00773115037,
392.0088196,-0.007726878393,
391.0035095,-0.007614109199,
389.9979858,-0.007441007532,
388.9923096,-0.007703431882,
387.9864807,-0.00752146123,
387.0191956,-0.007484060712,
386.013092,-0.007748899516,
385.0068054,-0.007743915543,
384.0003357,-0.00778017519,
382.9937439,-0.007928233594,
381.986969,-0.007685935125,
381.0187988,-0.007657450158,
380.0117493,-0.007802600507,
379.0045166,-0.007952938788,
377.9971619,-0.007815618068,
376.989624,-0.007669403683,
375.9819336,-0.008067905903,
375.0128479,-0.00787236169,
374.0048828,-0.008049052209,
372.9967346,-0.008120398968,
371.9884644,-0.007966561243,
371.0188293,-0.007968035527,
370.0102234,-0.007997719571,
369.0014954,-0.007981454954,
367.9926147,-0.007996398024,
366.9835815,-0.007851871662,
366.0131836,-0.00806760136,
365.0038452,-0.007906576619,
363.9943848,-0.0079054581,
362.9847412,-0.007972508669,
362.0138245,-0.007947498932,
361.0038757,-0.008128020912,
359.9938354,-0.00795115903,
358.9835815,-0.007976981811,
358.0121155,-0.008048239164,
357.0016174,-0.008022929542,
355.9909668,-0.008110592142,
355.019043,-0.008130917326,
354.0081482,-0.008184266277,
352.9970703,-0.008374389261,
351.9858093,-0.008234967478,
351.0133667,-0.008469901979,
350.0018616,-0.008301662281,
348.9902039,-0.008352755569,
348.017334,-0.008444464765,
347.0054321,-0.008550774306,
345.9933777,-0.008524834178,
344.9811707,-0.008287897334,
344.0077515,-0.008571688086,
342.9952698,-0.008495135233,
341.9826965,-0.008644268848,
341.0088501,-0.008810347877,
339.9959412,-0.008968654089,
338.9829102,-0.008809383959,
338.008728,-0.008846822195,
336.9954529,-0.008746623062,
335.9819641,-0.008999942802,
335.0073853,-0.009002935141,
333.9936829,-0.008881011978,
333.0188293,-0.008937109262,
332.0048218,-0.009135064669,
330.9907532,-0.009052222595,
330.0154724,-0.009222908877,
329.0011292,-0.009107384831,
327.9866028,-0.009099121206,
327.0109863,-0.009092833847,
325.9962158,-0.009271258488,
324.9813232,-0.009163756855,
324.0052795,-0.008907133713,
322.9901428,-0.009059675969,
322.013916,-0.008828711696,
320.9984741,-0.00876509212,
319.9829102,-0.008631530218,
319.0062866,-0.008121212013,
317.9904785,-0.007948058657,
317.0136108,-0.007342468947,
315.9975586,-0.00652372092,
314.9813538,-0.005664029624,
314.0040894,-0.004741698038,
312.9876709,-0.00353197637,
312.0101929,-0.002138240961,
310.9934692,0.0002799434005,
310.0157776,0.002125746571,
308.9988098,0.004752479494,
307.9817505,0.008588685654,
307.0036621,0.01312541496,
305.9863586,0.01871593669,
305.0080261,0.02480501309,
303.9904785,0.03251365945,
303.0119324,0.04114905372,
301.9941406,0.05112829059,
301.0153198,0.06211674958,
299.9972839,0.07411117107,
299.0183105,0.08763866872,
298,0.1033513397,
296.9815979,0.1201250404,
296.0022278,0.138977915,
294.9835815,0.156875819,
294.0039978,0.176446721,
292.9850769,0.2008868605,
292.0052795,0.2234232426,
290.9861755,0.2470449358,
290.006134,0.2712489367,
288.9867859,0.2962784171,
288.0065002,0.3250791132,
286.9869385,0.3508351445,
286.0065002,0.3757594228,
284.9866333,0.4043657184,
284.0059509,0.4299255908,
282.9859009,0.4610695243,
282.0050354,0.4862299263,
280.9847107,0.5156672001,
280.0036011,0.5440767407,
278.9831238,0.5707396269,
278.00177,0.5966604352,
276.9810486,0.6241452694,
275.9994812,0.646171093,
275.0178223,0.6679297686,
273.9967346,0.6881313324,
273.0148621,0.7068318725,
271.9936218,0.7207996845,
271.0115662,0.733628571,
269.9900208,0.7453436852,
269.0077209,0.7538989782,
267.9860535,0.7614106536,
267.00354,0.7660354376,
265.9815979,0.7687904239,
264.9989014,0.7694175243,
264.0160828,0.7682573199,
262.9938965,0.7649321556,
262.0108643,0.7594397664,
260.9884338,0.752376914,
260.0052185,0.7456493974,
258.982605,0.7345107198,
257.999176,0.721573472,
257.0156555,0.7078985572,
255.9926758,0.6910364032,
255.0089722,0.6737957597,
253.9857941,0.6544590592,
253.0018921,0.6333470345,
252.0178986,0.6150394678,
250.9944305,0.5860545039,
250.0102539,0.5595126152,
248.986557,0.5342656374,
248.002182,0.5076875091,
247.0177002,0.4877100885,
245.9937744,0.4560703337,
245.009079,0.4248352051,
243.9849243,0.39648211,
243.0000458,0.3738948107,
242.0151215,0.3500685394,
240.9906769,0.3205812573,
240.0055389,0.2951096594,
238.9808655,0.2708077729,
237.995575,0.249287352,
237.0101624,0.2283226401,
235.9852448,0.2054135203,
234.999649,0.1861017942,
234.0139618,0.1700742096,
232.9887543,0.1502105743,
232.0028839,0.1354948282,
231.0169525,0.1198491901,
229.9914246,0.105972521,
229.0053101,0.09664937854,
228.019104,0.08594096452,
226.9933624,0.07324998826,
226.0069733,0.0630319491,
224.9810333,0.05232777074,
223.9944611,0.04464089498,
223.0078125,0.03690623865,
221.9815979,0.03048422933,
220.9947815,0.02468413487,
220.0078735,0.02008178271,
218.9813843,0.0162019264,
217.9943237,0.01344588306,
217.0071564,0.01073606033,
215.9804382,0.008991253562,
214.993103,0.006692528725,
214.0057068,0.005831820425,
213.018219,0.004360016435,
211.9911652,0.003170408774,
211.003479,0.002165600425,
210.0157776,0.001292725909,
208.9884491,0.0007681979914,
208.0005646,0.0002263023198,
207.0125885,0.001967564458,
205.9850311,0.005717919208,
204.9968872,0.009319924749,
204.0086975,0.01894642226,
202.9808502,0.03326413035,
201.9925079,0.05643875897,
201.0040588,0.1015420333,
200.0155487,0.1711807996,

0.5%C,
0.5%C
Collection Time: 3/7/2017 1:58:38 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  400.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.00
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 3/7/2017 1:36:03 PM
Method Modifications:
UVVIS SAT Changed: 3/7/2017 1:36:23 PM, Old:0.0125, New:0.1000
Common SAT Changed: 3/7/2017 1:36:23 PM, Old:0.0125, New:0.1000
X Start nm Changed: 3/7/2017 1:36:27 PM, Old:  800.0, New:  400.0
Common Interval nm Changed: 3/7/2017 1:36:27 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 3/7/2017 1:38:39 PM, Old:0, New:1
Saved as C:\JST Lab\Chen\acetone\0.5C
End Method Modifications
<Current Wavelength> , 208.0

