149 from pcr,,149 from idt mix,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9949341,0.0673834607,799.9949341,0.08567457646,
794.9968262,0.06804314256,794.9968262,0.08422398567,
789.9888306,0.06950936466,789.9888306,0.08496173471,
785.0057373,0.07002903521,785.0057373,0.08631358296,
780.0130005,0.07104287297,780.0130005,0.0877873078,
775.0106812,0.07193844765,775.0106812,0.08854631335,
769.9987793,0.07245504111,769.9987793,0.08941184729,
765.0125122,0.07178878039,765.0125122,0.08734622598,
760.0169067,0.07302583754,760.0169067,0.09044346958,
755.012146,0.07240023464,755.012146,0.08975358307,
749.9981689,0.073117055,749.9981689,0.08950723708,
745.010437,0.07254096121,745.010437,0.08937685937,
740.0137939,0.07026472688,740.0137939,0.08590064943,
735.0082397,0.06840064377,735.0082397,0.08326717466,
729.9939575,0.06393130124,729.9939575,0.07967124134,
725.0064697,0.06023834646,725.0064697,0.07619303465,
720.010437,0.05662675202,720.010437,0.07383797318,
715.0058594,0.05528947711,715.0058594,0.07005491853,
709.9929199,0.05450671911,709.9929199,0.07124339789,
705.0073853,0.05741898715,705.0073853,0.07340735942,
700.0136719,0.06204976514,700.0136719,0.0774012953,
695.0117798,0.0673353076,695.0117798,0.08326529711,
690.0018311,0.07078947872,690.0018311,0.08813686669,
684.9838257,0.07536137104,684.9838257,0.09114231914,
679.9940186,0.07748108357,679.9940186,0.09318861365,
674.9963379,0.07982134819,674.9963379,0.09542649239,
669.9910278,0.08195783943,669.9910278,0.09769765288,
665.0142212,0.0825105682,665.0142212,0.09789462388,
659.9935303,0.08213504404,659.9935303,0.09764290601,
655.001709,0.08350655437,655.001709,0.09882632643,
650.0025635,0.08357991278,650.0025635,0.09918501973,
644.9959717,0.08486935496,644.9959717,0.09972707182,
639.9820557,0.08522262424,639.9820557,0.1001928449,
634.9975586,0.08529374748,634.9975586,0.1019245461,
630.0060425,0.08577845246,630.0060425,0.1012381539,
625.0075073,0.08642335981,625.0075073,0.101643689,
620.0018921,0.0867164731,620.0018921,0.1023170948,
614.9893799,0.08757262677,614.9893799,0.1021769941,
610.007019,0.08759650588,610.007019,0.1029238328,
605.0178833,0.08729808033,605.0178833,0.1016869396,
599.9850464,0.08722326905,599.9850464,0.1020261645,
594.982605,0.0866721645,594.982605,0.1017685384,
590.0107422,0.08629349619,590.0107422,0.1008471251,
584.9953613,0.08589027077,584.9953613,0.1011942253,
580.0107422,0.08552797884,580.0107422,0.10106612,
574.9825439,0.08447869867,574.9825439,0.09817962348,
569.9853516,0.08306331187,569.9853516,0.09785765409,
