50uM norfloxacin3,,30uM,,30uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
400.0109558,0.3614914715,400.0033875,-0.006125228014,400.0033875,-0.006125228014,
399.0072632,0.3592659235,398.9993591,-0.005910829175,398.9993591,-0.005910829175,
398.0034485,0.3580556214,397.9951477,-0.006014339626,397.9951477,-0.006014339626,
396.9994202,0.3560540974,396.9908142,-0.005802185275,396.9908142,-0.005802185275,
395.9952698,0.3601644933,395.9862976,-0.005625651218,395.9862976,-0.005625651218,
394.9909363,0.3548019528,394.9816589,-0.005762184039,394.9816589,-0.005762184039,
393.9864502,0.3578928113,394.0154724,-0.005387587007,394.0154724,-0.005387587007,
392.981781,0.3617652953,393.0104675,-0.005159112625,393.0104675,-0.005159112625,
392.015625,0.3612292409,392.0053406,-0.005048796535,392.0053406,-0.005048796535,
391.0106506,0.3589572906,391,-0.005236562807,391,-0.005236562807,
390.0055237,0.3583381176,389.9945679,-0.004838166293,389.9945679,-0.004838166293,
389.0002136,0.3613083065,388.9889221,-0.004165974911,388.9889221,-0.004165974911,
387.9947815,0.3613298535,387.9831238,-0.003856301075,387.9831238,-0.003856301075,
386.9891663,0.3649979234,387.0158997,-0.003563043661,387.0158997,-0.003563043661,
385.983429,0.3633199036,386.0098267,-0.002990382491,386.0098267,-0.002990382491,
385.0161743,0.3664452732,385.00354,-0.002872313838,385.00354,-0.002872313838,
384.0101013,0.3597560227,383.9971619,-0.002380924532,383.9971619,-0.002380924532,
383.0039063,0.3683229685,382.9906006,-0.0016194575,382.9906006,-0.0016194575,
381.9974976,0.3710788786,381.9838562,-0.0007834307034,381.9838562,-0.0007834307034,
380.9909668,0.3729785681,381.0157166,-0.0006641400396,381.0157166,-0.0006641400396,
379.9842529,0.3728100061,380.008667,0.0003172707511,380.008667,0.0003172707511,
379.0161438,0.3705917001,379.0014954,0.001145150512,379.0014954,0.001145150512,
378.0091248,0.3667546511,377.9941406,0.002291767159,377.9941406,0.002291767159,
377.0019531,0.374151051,376.9866638,0.002648245543,376.9866638,0.002648245543,
375.9946289,0.3720129728,376.0177612,0.003736880142,376.0177612,0.003736880142,
374.9872131,0.3783995807,375.0099792,0.005069523118,375.0099792,0.005069523118,
374.0183411,0.3820023537,374.0020142,0.005715060048,374.0020142,0.005715060048,
373.0105896,0.3783321977,372.993927,0.007452284452,372.993927,0.007452284452,
372.0026855,0.3785650432,371.9856873,0.008656467311,371.9856873,0.008656467311,
370.9946289,0.3803967535,371.0160522,0.009637066163,371.0160522,0.009637066163,
369.9863892,0.3849188685,370.0075378,0.01136281807,370.0075378,0.01136281807,
369.0168152,0.3861702085,368.9988098,0.01282723248,368.9988098,0.01282723248,
368.0083008,0.38383165,367.9899597,0.01488399692,367.9899597,0.01488399692,
366.9996033,0.387021184,366.980957,0.01652790047,366.980957,0.01652790047,
365.9908142,0.3939254284,366.0105896,0.01836647093,366.0105896,0.01836647093,
364.9818115,0.392693907,365.0013123,0.02024263516,365.0013123,0.02024263516,
364.0115356,0.3962414265,363.9918823,0.02230580151,363.9918823,0.02230580151,
363.0023193,0.3991152048,362.9822693,0.02536193468,362.9822693,0.02536193468,
361.9928894,0.4016587436,362.0113831,0.02809858695,362.0113831,0.02809858695,
360.9833679,0.4067187309,361.0015259,0.02977729775,361.0015259,0.02977729775,
360.0124817,0.4079467654,359.9914551,0.03316588327,359.9914551,0.03316588327,
359.0026245,0.4141681194,358.9812927,0.03728288412,358.9812927,0.03728288412,
357.9926758,0.424351275,358.0098267,0.04121055827,358.0098267,0.04121055827,
356.9825134,0.4264296293,356.9993591,0.04388604313,356.9993591,0.04388604313,
356.0111084,0.4263190925,355.988739,0.04886237904,355.988739,0.04886237904,
355.0006714,0.4348127544,355.0168762,0.05326995626,355.0168762,0.05326995626,
353.9901123,0.448464781,354.0059814,0.05841582641,354.0059814,0.05841582641,
353.01828,0.453527838,352.9949341,0.06418401748,352.9949341,0.06418401748,
